S02mekhdh_u	Mekhalā dhāraṇī	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/mekhdh_u.htm
S02psarkdhu	Pratisarākalpadhāraṇī	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/psarkdhu.htm
S02sjdh_u	Sarvajñatākāradhāraṇī [Karuṇāpuṇḍarīka]	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sjdh_u.htm
S02bsu004_u	Sitātapatrā	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu004_u.htm
S02vajvidhu	Vajravidāraṇā Dhāraṇī	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/vajvidhu.htm
S02vjviddhu	Vajravidāraṇā Dhāraṇī	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/vjviddhu.htm
S02vadhdhdu	Vasudhārā dhāraṇī 1	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/vadhdhdu.htm
S02vadhdhgu	Vasudhārā dhāraṇī 2	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/vadhdhgu.htm
S02vadhdhju	Vasudhārā dhāraṇī 3	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/vadhdhju.htm
S03ajm_u	Jātakamālā: Aryasura	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/ajm_u.htm
S03bsa032_u	Jātakamālā: Aryasura	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa032_u.htm
S03gopjatmu	Jātakamālā: Ajātaśatrvavadāna	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/gopjatmu.htm
S03hjatm_pu	Jātakamālā: Haribhaṭṭa	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/hjatm_pu.htm
S03jatkstpu	Jātakastava: Jñānayaśas	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/jatkstpu.htm
S04ajitsvyu	Ajitasenavyākaraṇa	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/ajitsvyu.htm
S04bsu006_u	Ajitasenavyākaraṇa	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu006_u.htm
S04amoghapu	Āmoghapāśanāmahṛdaya sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/amoghapu.htm
S04bsu002_u	Āmoghapāśanāmahṛdaya sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu002_u.htm
S04bsu003_u	Aparimitāyuḥ Sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu003_u.htm
S04bsu005_u	Arthaviniścaya sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu005_u.htm
S04bsu008_u	Āryabuddhabalādhānaprātihāryavikurvāṇanirdeśa nāma Mahāyāna Sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu008_u.htm
S04bsu001_u	Āryānityatā sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu001_u.htm
S04bsu012_u	Bhaiṣajyaguruvaidūryaprabharāja sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu012_u.htm
S04bsu010_u	Bhavasaṅkrānti sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu010_u.htm
