	title	vol	Name of Author	Claimed Provenance	start	end	Colophon
001(ka)001	skyabs 'gro yan lag drug pa/	1	Dri med bshes gnyen (Vimalamitra)	Ind	1	4	di la 'gyur byang mi snang yang | lta gcig d+Ai paM ka ra'i thugs dam chos chung brgya rtsa'i grangs su bzhugs pas tshad mar bzung ngo || dpe 'di spar ma dpe rnying rtsa chen zhig mkhan tshul khrims mthar phyin gyi phyag dpe las kho bo byang chub rgya mtshos rnyed de 'dzud pa'o ||
001(ka)002	skyabs 'gro yan lag drug pa dang bdun cu pa'i chos kyi bdag po rnams la gsol 'debs  brgyud ldan bla ma'i byin rlabs dpal ster/	1	dPal gyi seng+ge	NA	5	8	 ces pa 'adi'anga dpal gyi seng+gesa sbyar ba'o ||
001(ka)003	skyabs 'gro yan lag drug pa'i phyag yul dang skyabs gnas gsal 'debs/	1	dPal gyi seng+ge	NA	9	12	 zhes pa 'di yang dpal gyi seng+ges sbyar ba'o |||||  | 
001(ka)004	skyabs 'gro'i lung sbyor zla ba'i phreng mdzes/	1	dPal gyi seng+ge	NA	13	38	dkon mchog gsum la gzhol bar shog | ces skyabs 'gro bdun cu pa las gsungs pa ji bzhin te | gzhung don tshang bar sbyor ba yongs su rdzogs pa grub par gyur to || slar smras pa | bde dge ma lus dkon mchog gsum po dang || gang gi rigs yod kho na'i rten 'brel dbang || rang khams 'bras bur 'char byed thabs kun gzhi || skyabs 'gror rag na 'dir brtson su mi sgrim || de'i phyir lam kun gzhi rten ches brtan phyir || thar 'dod skye mang blo mig rgyas bya'i phyir || shing rta chen po rnams kyi gzhung sbrel ba'i || legs bshad dpal gyi seng ges brtson pas sbyar || de las byung dge dus gsum rnam dkar bcas || grub mtha' phyogs re sems can 'ga' 'ag'i phyir || yongs su chad pa'i bsngo ba log spangs te || sangs rgyas bstan 'phel 'gro kun thar phyir bsngo |||||  |
001(ka)005	skyabs 'gro yan lag drug pa'i lung sbyor sgron me'i phreng mdzes/	1	dPal gyi seng+ge	NA	39	70	ces pa 'di yang dpal gyi seng ge'i ming du 'bod pas sbyar ba'o ||
001(ka)006	skyabs 'gro yan lag drug pa'i spyi don/	1	dPal gyi seng+ge	NA	71	95	 zhes pa 'di'anga dpal gyi seng ge'i ming can gyis sbyar ba ste 'dis kyang 'gro ba ma lus pa dkon mchog gsum la gzhol bar gyur cig ||
001(ka)007	skyabs 'gro yan lag drug pa'i brgyud 'debs bsdus pa/	1	dPal gyi seng+ge	NA	95	95	 'dzam gling mdzes pa'i rgyan du 'phel rgyas shog | chos grwa chen po o rgyan smin grol gling du dpal gyi seng+ges gsol ba btab pa'o ||
001(ka)008	skyabs 'gro yan lag drug pa lag tu blang nas rim par klog pa'i thabs/	1	dPal gyi seng+ge	NA	95	100	ces pa 'adi'anga dpal gyi seng+gesa sbyar ba'o ||
001(ka)009	skyabs 'gro yan lag drug pa bshad pa'i bskyud byang zin ma TI ka	1	sMin gling mkhan chen 02 D+harma ShrI	Tib	101	120	zhes pa 'di yang sgra bsgyur gyi lo chen mkhan chen d+harma sh+r+Ai'i gsung 'bum las bar du dpe rgyun cher ma dar bas phyir khyab bdag dpal gyi sed+ge bka'i 'khor lo spyi bor phebs pas o rgyan smin grol gling du 'gyur med kun khyab kyi par du bskun pas lung rtogs kyi bstan pa rin po che dar zhing rgyas pa'i rgyur gyur cig ||
001(ka)010	skyabs 'gro yan lag drug pa'i sa bcad khol du phyungs pa/	1	Jigs bral ye shes rdo rje	Tib	121	124	zhes pa'ng blo 'dzin bde ba'i phyir lo chen d+harma sh+r+Ai'i zin ma Ti ka las sa bcad khol du phyungs pa ste 'jigs bral ye shes rdo rjes so ||
001(ka)011	zag med kyi chos sde tshan nyer gcig gis bstod pa/	1	Slob dpon dpa' bo	Tib	125	129	 ces pa 'di yang slob dpon dpa' bos mdzad pa'o || 
001(ka)012	thub bstod thabs mkhas ma 'bri gung skyobs pas mdzad pa/	1	 'Bri gung skyobs pa	Tib	129	131	ces pa 'di yang 'bri gung skyobs pas mdzad pa'o ||
001(ka)013	de bzhin gshegs pa khyed sku sogs shis smon/	1	Unknown		131	132	
001(ka)014	phags pa klu sgrub kyis mdzad pa'i smon lam nyi shu pa/	1	Nagarjuna	Ind	132	135	
001(ka)015	phags pa dkon mchog gsum rjes su dran pa/	1	Unknown		135	138	
001(ka)016	dkon mchog rjes dran gyi bsdus don bstan don legs par bshad pa/	1	dPal gyi seng+ge	NA	139	144	 smras pa | sh+AAkya'i rgyal po'i phrin las yongs rdzogs dbang || pad+ma skyes kyi byin rlabs snying sim pa || dpal gyi seng ges bsdus don rab sbyar dges || 'gro kun rin chen gsum la gzhol gyur cig |||
001(ka)017	thub dbang nye sras brgyad la phyag mchod bya tshul mdor bsdus phan bde'i snying po/	1	mKhyen brtse'i dbang po	Tib	145	150	 zhes pa'ng rje btsun 'jam pa'i dbyangs kyi rnam par 'phrul pa chos rgyal khri srong lde'u btsan gyi gsung gi rjes su 'brangs te mkhyen brtse'i dbang pos gsol ba btab pa dge legs su gyur cig ||
001(ka)018	thub dbang gnas brtan 'khor bcas la phyag mchod bya tshul mdor bsdus pa yid bzhin nor bu'i snying po/	1	mKhyen brtse'i dbang po	Tib	151	154	ces gsol ba gdab cing bkra shis pa'i tshig gis mtha' brgyan par bya'o || zhes pa pa'ng dang pa dang ldan pa rnams kyi ched du bya bral ba 'jam dbyangs mkhyen brtse'i dbang pos gsol ba btab pa de de bzhin du 'grub par gyur cig ||  
001(ka)019	o rgyan rje 'bangs nyer lnga 'khor bcas la gsol ba 'debs pa mdor bsdus byin rlabs snying po/	1	brTsi'i dbang po (mTsho skyes bla ma dgyes pa'i 'bangs mkhyen)	Tib	155	158	ces dbang blangs shing bsngo smon shis pa barjoda pas mtha' brgyan par bya'o || zhes pa'ng dad ldan na th+AA'i ming can gyis gsol ba btab pa ltar | mtsho skyes bla ma dgyes pa'i 'bangs mkhyen brtsi'i dbang pos bris pa sid+d+hira stu ||||| 
001(ka)020	gnas brtan phyag mchod dang 'brel bar cho ga mdor bsdus bya tshul/	1	Many+dzu g+ho Sha	Ind	159	168	ces sogs kyi bkra shis ci rigs barjoda mthar rol mo bya'o || zhes pa'ng many+dzu g+ho Shas bris pa dge || 
001(ka)021	thub chog byin rlabs gter mdzod/	1	Mi pham 'jam dbyangs rgya mtsho	Tib	169	176	zhes pa 'di ni bslab gsum nor bu'i mdzod mnga' dbon rin po che o rgyan bstan 'dzin nor bu nas bkra shis pa'i lha rdzas dang bcas te nan tan bskul ba yid la 'jags pa'i steng du | nye char yang dbon rin po che nyid nas sprul pa'i sku 'jigs med pad+ma bde chen la sbran te rin chen dang po sogs bkra shis pa'i lha rdzas kyi skyes dang bcas myur du grub par gyis zhes dam bzung gis bkas bskul ba la brten nas | ston pa mchog la mi phyed pa'i dad pa thob cing | dus mthar chos smra ba'i ming tsam 'dzin pa sh+AAkya'i rjes 'jug mi pham 'jam dbyangs rgya mtshos | rdza rdo rje 'phan phyug gi ri zhol phun tshogs nor bu'i gling du | kun ldan lcags byi gsar tshes cho 'phrul chen po'i zla ba'i yar tshes brgyad la grub par bgyis pa 'dis kyang bstan 'gro la phan pa rmad du byung ba rgyun mi 'chad par byed pa dang | tshul 'di mthong thos dran reg gi 'gro ba rnams kyi rgyud la ston pa'i dbang po'i byin rlabs mtshungs pa med pa mngon du 'jug par gyur cig |
001(ka)022	thub bstod bcom ldan ma/	1	Mi pham 'jam dbyangs rgya mtsho	Tib	177	190	de ltar bdag cag gi ston pa yang dag par rdzogs pa'i sangs rgyas mnyam med sh+AAkya'i rgyal po la bstod pa 'di ni | gzhan gyis ma bskul bar rang gi yid la ston pa'i rnam par thar pa cung zad dran pas gus pa tshad med pa'i ngang nas gang shar shar mar bris pa ste | rtsom pa po'i- ming du mi pham blo gros dri med ces gdags pa na tshod gzhon nur gyur pa des so ||
001(ka)023	slob dpon chen po'i bstod pa sku gsum ma/	1	Mi pham 'jam dbyangs rgya mtsho	Tib	190	193	ces tshigs su bcad pa dga' ba bcu drug gi grangs ldan 'di ni zil gnon me rta zla ba brgyad pa'i tshes nyer bdun la mi pham 'jam dpal dgyes pas spel ba dge legs 'phel ||
001(ka)024	mkhan chen la bstod pa 'jam dpal ma/	1	Mi pham 'jam dbyangs rgya mtsho	Tib	193	197	ces tshigs su bcad pa de nyid rnam pa bcu drug gi grangs ldan 'di ni me rta zla ba dgu pa'i tshes lnga la mi pham 'jam dpal dgyes pas bkod pa dge legs 'phel ||
001(ka)025	chos rgyal chen po'i bstod pa gangs can ma/	1	Mi pham 'jam dbyangs rgya mtsho	Tib	197	200	ces tshigs su bcad pa mchod pa'i lha mo bcu drug gi grangs ldan 'di ni me rta zla ba brgyad pa'i tshes nyer bdun la mi pham 'jam dpal dgyes pas bkod pa dge legs 'phel |
001(ka)026	so thar sdom brgyud kyi gsol 'debs/	1	lNga pa Ngag dbang blo bzang rgya mtsho	Tib	201	206	ces kun mkhyen lnga pa chen pos mdzad pa'i sdom rgyun gsol 'debs las | brgyud pa'i khyad par gyi zhi 'tsho yab sras kyi sh+lo ka gcig dang | dge 'dun rgya mtsho man gyi-sh+lo ka gcig bcas lo chen d+harma sh+r+Ais bsgyur bar mdzad pa dang de nas brgyud pa'i rim pa kha bskang ba po ni dz+ny+AA na'o ||||
001(ka)027	jo bo puN+ye shrIs mdzad pa'i dge bsnyen gyi sdom pa'i rnam par bzhag pa tshigs su bcad pa/	1	Jo bo puN+ye shrI	Ind	207	208	di'i 'grel pa'ng 'di nyid kyis mdzad pa yo. | dpe 'di'anga spar rnying rtsa chen mkhan tshul khrims mthar phyin gyi phyag dpe las kho bo byang chub rgya mtshos rnyed de 'dzud pa'o ||
001(ka)028	jo bo puN+ye shrIs mdzad pa'i dge bsnyen sdom pa'i rnam par bzhag pa tshigs bcad brgyad pa ma/	1	Jo bo puN+ye shrI	Ind	209	212	di'i 'grel pa'ng 'di nyid kyis mdzad pa yo. | zhes mchan 'grel nyung ngu rgya gzhung rang 'grel gyi dgongs pa kho nar ma nor ba | mkhan pradz+h+AA k+Ai rti'i gsungs ngor mi pham rnam par rgyal bas bris pa dge ||
001(ka)029	khyim pa rjes su 'dzin pa so sor thar pa'i sdom pa'i cho ga thar lam rab gsal/	1	gyur med rdo rje	Tib	213	236	khyim pa rjes su 'dzin pa so so thar pa'i-sdom pa'i cho ga thar lam rab gsal zhes bya ba 'di ni | nye bar gnas pa o rgyan rnam grol gyis bskul ba'i ngor sh+AAkya'i dge bsnyen 'gyur med rdo rjes o rgyan smin grol gling du spel ba'o ||
001(ka)030	phags pa gzhi thams cad yod par smra ba'i dge tshul gyi tshig le'ur byas pa/	1	Klu sgrub	Ind	237	248	thams cad yod par smra ba'i dge tshul gyi tshig le'ura byas pa slob dpon klu sgrub kyis mdzad pa rdzogs so || rgya gar gyi mkhan po mu ni barma dang | zhu chen gyi lo ts+AA ba ban+de ye shes sdes bsgyur cing zhus te gtan la phab pa'o || 'di'i 'grel pa ka ma la sh+Ai las mdzad pa dang | yang mdzad pa po mi gsal ba bcas gnyis snang ngo || tshul khrims rgya mtshos spar du bsgrubs pa'o |||| dpe 'di'anga spar rnying rtsa chen mkhan tshul khrims mthar phyin gyi phyag dpe las kho bo byang chub rgya mtshos rnyed de gsar du 'dzud pa'o || 
001(ka)031	dge slong pha'i so sor thar pa'i mdo/	1	Unknown		249	320	so sor thar pa'i mdo 'di nyid spyir btang dge slong thams cad kyis blo la gzung dgos pa'i phyir mkho gal che ba tsam du ma zad | {bas 'dir yang nyan thos kyi theg pa'i yan lag gzhi gsum gyi cho ga las | gso sbyong gi gzhi'i skabs kyi mdo 'don pa lhag ma bzhi po'i dus su med-du mi rung ba yin pa'i phyir | de nyid kyi cha lag tu dmigs te chos smra ba'i btsun pa gzhan phan mtha' yas pas snga 'gyur bka' ma theg rim dgu'i yan lag gi cho ga mtha' dag phyogs gcig tu bsgrigs nas spar du- nye bar sgrub skabs su gzhung phyi mo 'grel pa dang bcas pa la gtugs nas zhus shing dag par byas te legs par gtan la phab pa'o ||||
001(ka)032	rab byung gi gzhi'i cho ga rin chen them skas/	1	sMin gling mkhan chen 02 D+harma ShrI	Tib	321	406	ces pa 'di ni smyos kyi dge slong rmongs pa d+harma sh+r+Ais khyu mchog gi lo la o rgyan smin grol gling gi chos grwar sbyar ba'o ||
001(ka)033	lo ming re'u mig	1	Unknown		407	408	
001(ka)034	'bul chog	1	sMin gling mkhan chen 02 D+harma ShrI	Tib	409	412	zhes pa'ng d+har+m+AA sh+r+Ais zin bris su byas pa'o ||
001(ka)035	bslab pa yongs sbyong gzhi gsum gyi cho ga thar gling du bgrod pa'i gru chen/	1	sMin gling mkhan chen 02 D+harma ShrI	Tib	413	474	ces pa 'di ni dus gsum sangs rgyas thams cad kyi ngo bo skyabs mgon bla ma mchog gi bka' stsal ma chog par brten dge slong rmongs pa d+harmasa rab myos kyi lo la o rgyan smin grol gling gi chos grwar sbyar ba'i yi ge pa ni dge slong o rgyan dpal 'byor ro || phyis myos ldan sa yos kyi lo rtsom pa po rang nyid kyis dbri bsnan cung zad bgyis so |||
001(ka)036	snga 'gyur sdom rgyun mkhan brgyud kyi rnam thar nyung gsal sgron me/	1	sMin gling mkhan chen 02 D+harma ShrI	Tib	475	530	ces snga 'gyur sdom rgyun gyi mkhan brgyud ji ltar byon pa'i gtam nyung gsal sgron me zhes bya ba 'di ni rnam par dpyod pa'i blo can rnam la chos khungs kyi nges ba sbyin pa'i slad du tshul 'di lta bu zhig rtsom zhes rgyal kun spyi gzugs skyabs mgon bla ma dam pa gter chen chos kyi rgyal po'i bka' gnang ba stsal ba spyi bos blangs te | gang gi bka' drin gyis 'tsho ba'i smyos kyi dge slong d+harma sh+r+Ais o rgyan smin grol gling gi chos grwar khyu mchog gi lo la sbyar ba'o || 'dis kyang mkhan chen zhi ba 'tsho'i ring lugs rnam par dag pa yun ring du gnas shing rgyas par gyur cig ||
001(ka)037	snga 'gyur sdom rgyun mkhan brgyud kyi rnam thar gsal sgron me'i kha skong nges shes 'dren pa'i pho nya/	1	Jigs bral ye shes rdo rje	Tib	531	552	ces snga 'gyur sdom rgyun mkhan brgyud kyi rnam thar nyung gsal sgron me'i kha skong nges shes 'dren pa'i pho nya zhes bya ba 'adi'anga | bskal ngan dus kyi rlung dmar ches cher 'tshubs pa'i skabs 'dir bstan pa'i sgron me bzang po yun du mi mnal ba'i cha rkyen kho nar dmigs te | snga 'gyur bka' ma'i chos sde yongs rdzogs kyi bka'i bsdu ba lhur len pa'i skabs thog ma'i gzhi rtsa mdo phyogs 'dul ba'i yig cha so thar sdom rgyun mkhan brgyud kyi rnam thar lo chen d+harma sh+r+Ai'i gsung gi kha skong du da lta'i bar gyi mkhan rabs kyi lo rgyus sa bon tsam med du mi rung bar mthong nas | rang gi 'dren pa bshes gnyen dam pa rnams kyi gsung sgros la sgro skur gyis ma bslad par mdor bsdus snying por dril ba'i tshul gyis bris pa ste | lha rigs sh+AAkya'i dge bsnyen 'jigs bral ye shes rdo rjes sbyar ba las || ga ma'i yi ge pa ni shar phyogs mon gyi dge bsnyen kun bzang dbang 'dus so || 'dis kyang bstan pa rin po che mi nyams gong nas go nga du 'phel ba'i rgyur gyur cig |
001(ka)038	byang chub sems dpa'i spyod pa la 'jug pa/	1	Sh+An ta de ba	Ind	553	682	byang chub sems dapa'i spyod pa la 'jug pa slob dpon sh+AAn ta de bas mdzad pa rdzogs so |||| rgya gar gyi mkhan po sarba dz+ny+AA de ba dang | zhu chen gyi lo ts+AA ba ban+de dpal brtsegs kyis kha che'i dpe las bsgyur cing zhus te gtam la phab pa las | slad kyi rgya gar gyi mkhan po d+harma sh+r+Ai b+ha dra dang | zhu chen gyi lo ts+AA ba ban+de rin chen bzang po dang | sh+AAkya blo gros kyis yul dbus kyi dpe dang 'grel pa dang mthun par bcos shing bsgyur te gtan la phab pa'o || yang dus phyis rgya gar gyi mkhan po su ma ti k+Airti dang | zhu chen gyi lo ts+AA ba dge slong blo ldan shes rab kyis dag par bcos shing bsgyur te legs par gtan la phab pa'o || swa sti | byang chub sems dapa'i sde snod gnad || byang chub spyod pa'i lam gcig tu || byang chub sems dpas bsdus pa'i gzhung || byang chub ming gis spar du bsgrubs ||
001(ka)039	byang chub sems bskyed kyi sdom pa'i brgyud 'debs/	1	Gyur med rdo rje gter bdag gling pa	Tib	683	685	'di gnyis rig 'dzin gter bdag gling pas mdzad pa la brgyud pa'i khyad par kha bskang ba po ni dz+ny+AA na'o ||
001(ka)040	spyod 'jug brgyud pa'i gsol 'debs/	1	Unknown		685	686	
001(ka)041	theg pa chen po dbu ma lugs kyi sems bskyed kyi cho ga rgyal sras lam bzang /	1	Gyur med rdo rje gter bdag gling pa	Tib	687	728	theg pa chen po dbu ma lugs kyi sems bskyed kyi cho ga rgyal sras lam bzang zhes bya ba 'di ni | rang lugs su sngon chad sdom pa 'bogs chog lam rim rgyas pa rnams nas mdzub tshugs su bsdu ba las | bklag chog tu bkod pa mi 'dug pas rjes 'jug rnams la phan 'dod kyis sngon nas 'bri bar bsam pa las | nye char dad 'dun gyi nor can o rgyan rnam grol gyi bskul ba dang | rmi lam du dge ba'i mtshan ma'ng cung zad mthong bas rkyen byas te | byang chub sems dapa'i ming tsam 'dzin pa 'gyur med rdo rjes o rgyan smin grol gling gi bla brang chos 'khor lhun por bris pa'o || swa sti | zab mo lta ba'i chu gter bsrubs pa las || rgyal sras lam bzang rmad byung byang sdom gyi || cho ga gcig las du ma'i char 'bebs sprin || smin grol chos sgra sgrog pa'i mkha' las spros |||
001(ka)042	phags pa shes rab kyi pha rol tu phyin pa sdud pa tshigs su bcad pa/	1	Unknown		729	794	rgya gar gyi mkhan po bid+y+AA ka ra sing ha dang | zhu chen gyi lo ts+AA ba ban de dpal brtsegs kyis bsgyur cing zhus te gtan la phab pa'o ||
001(ka)043	shes rab kyi pha rol tu phyin pa'i snying po/	1	Unknown		795	800	rgya gar gyi mkhan po bi ma la mi tra dang | lo ts+AA ba dge slong rin chen sdes bsgyur cing | zhu chen gyi lo ts+AA ba dge blo dang nam mkha' la sogs pas zhus te gtan la phab pa | dpal bsam yas lhun gyis grub pa'i gtsug lag khang gi dge rgyas bye ma gling gi rtsig ngos la bris pa dang zhus dag legs par bgyis so ||
002(kha)001	'phags pa rten cing 'brel bar 'byung ba'i snying po/	2	Unknown		1	2	
002(kha)002	'phags pa rten cing 'brel bar 'byung ba zhes bya ba theg pa chen po'i mdo/	2	Unknown		2	6	
002(kha)003	'phags pa rten cing 'brel bar 'byung ba'i snying po'i cho ga'i gzungs/	2	Unknown		6	14	
002(kha)004	spyan ras gzigs bcu gcig zhal gyi bsgrub thabs bsnyung bar gnas pa dang 'brel ba'i cho ga gzhan phan 'od kyi drwa ba/	2	Gyur med tshe dbang mchog grub	Tib	15	39	ces pa 'phags mchog thugs rje chen po'i bsgom bzlas kyi cho ga mkhas mchog rnams kyi mdzad pa las tshig gis spros pa nyung bar byas shing | bsgom bzlas rtsa ba bsgrub thabs rin 'byung du bzhugs pa gzhir bzhag | yan lag rigs mthun gzhan nas kha bskangs ste rang gzhan nyer mkho'i ched du phan sems kyi dpal kaHthoga tu 'gyur med tshe dbang mchog grub pas nag 'gros su bkod pa'i dge bas sems can thams cad mkhyen pa thob par gyur cig ||
002(kha)005	phyag 'tshal/	2	Unknown		39	40	
002(kha)006	spyan ras gzigs la bstod pa smon lam du bya ba gzhan phan pad dkar phreng ba/	2	'Gyur med tshe dbang mchog grub	Tib	40	44	ces thugs rje chen po'i bsnyungs gnas kyi mthar sbyar rgyu'i smon tshig gcig dgos zhes rang gi slob ma sngags 'chang rab 'byams pa bsod nams mchog ldan dang blo bzang phun tshogs kyi bskul ngor rgyal khams pa tshe dbang mchog grub kyi thun mtshams su brjod pas sarba sid+han+tu | 
002(kha)007	a ma dran nas ma Ni bskul ba/	2	Unknown		45	48	zhes a ma dran nas ma Ni bskul ba 'adi'ang smyung gnas kyi cha lag tu s+Auk+tasa gdung ba'i nga ros 'bod pa'o || phyag dpe 'di bla ma legs bshad kyi gsung byin can yin pas phyag bris dngos las zhal bshus te bdag byang rgyam pas 'dzud pa dge'o ||
002(kha)008	spyan ras gzigs dpal mo lugs kyi rjes gnang gi yi ge bklags pas grub pa/	2	sMin gling mkhan chen 02 D+harma ShrI	Tib	49	66	spyan ras gzigs dpal mo lugs kyi rjes gnang gi yi ge 'di ni rang gi tsha bo thub ston 'jam dbyangs bsod nams bzang po'i ngor gnyos btsun rmongs pa d+harma sh+r+Ais zin bris su spel ba'o ||
002(kha)009	mi 'khrug pa'i bsgom bzlas/	2	Unknown		67	68	ces pa'ang nyer mkho'i ched du mun sel nas bris so ||
002(kha)010	de bzhin gshegs pa brgyad la bstod pa/	2	Zhi ba mtsho	Ind	69	72	de bzhin gshegs pa brgyad la bstod pa slob dpon zhi ba 'tshos mdzad pa rdzogs soha ||
002(kha)011	de bzhin gshegs pa bdun gyi sngon gyi smon lam gyi khyad par rgyas pa'i gzungs bklag pa'i cho ga mdo sde las btus pa/	2	Zhi ba mtsho	Ind	73	144	de bzhin gshegs pa bdun gyi sngon smon lam gyi khyad par rgyas pa'i gzungs klag pa'i cho ga mdo sde las btus pa slob dpon bo d+hi sa t+was mdzad pa rdzogs so ||||
002(kha)012	bde gshegs bdun gyi mchod pa'i chog bsgrigs yid bzhin dbang rgyal/	2	Ngag dbang blo bzang rgya mtsho	Tib	145	304	yid ches shing spro ba bskyed pa mdo sngags kyi khyad par 'byed pa'i dpyad pa sngon du btang ba'i sgo nas thams cad mkhyen pa zhi ba 'tsho'i gsung dngos mar med du mi rung ba'i mtshams sbyor dang gsal byed kyis brgyan pa'i bde gshegs bdun gyi mchod pa'i chog bsgrigs yid bzhin dbang rgyal zhes pa 'di ni | yongs 'dzin dam pa chos bzhin du spyod pa du ma'i bka' drin las chos 'di la lhag par mos pa'i dad pa thob pa za hor gyi ban+de ngag dbang blo bzang rgya mtsho 'jigs med go cha thub bstan la nga tsho'i sdes bag yod ces pa chu glang mgos nya ba'i lhag pa lha mtshams kyi 'grub sbyor gyi dus dge bar | rang byung 'phags pa 'jig rten dbang phyug gi gtsug lag khang pho brang dmar po rir sbyar ba'i yi ge pa ni gnas brtan 'jam dbyangs grags pas bgyis pa lus can mtha' dag sman gyi bla bee D+Aur+ya 'od kyi rgyal po'i go 'phang mngon du byed pa'i rgyur gyur cig ||
002(kha)013	sman bla'i mdo chog gi snying po shin tu bsdus pa phan bde'i dpal ster/	2	Jam dbyangs mkhyen brtse'i dbang po	Tib	305	312	zhes pa'ang kun mkhyen bo dong pa chen po'i ring lugs 'dzin pa'i rab 'byams smra ba ngag dbang bstan 'dzin gyis lha rdzas kyi me tog dang bcas te gsung gis bskul ba'i ngo ra | snyom las pa 'jam dbyangs mkhyen brtse'i dbang pos dpal ldan bsam 'grub chos lding gi chos grwar sbyar ba'i dge bas 'gro kun don gnyis yid bzhin du 'grub pa'i rgyur gyur cig ||
002(kha)014	sman bla'i gzungs ring /	2	Unknown		312	312	
002(kha)015	bde gshegs brgyad sogs la re re bzhin mchod pa 'bul ba'i 'gres byang /	2	Unknown		313	314	
002(kha)016	gzhung gi mtshams rnams su so so'i ming bsgyur ba'i dper mtshon/	2	Unknown		315	316	
002(kha)017	sman bla'i mdo chog bsdus pa bdud rtsi'i bum bzang /	2	Mi pham 'jam dbyangs rgya mtsho	Tib	317	358	ces mdo chog bdud rtsi'i bum bzad zhes bya ba 'di ni 'jug pa bde zhing don 'dus la dgos pa che ba'i gnad mthong nas rab tshes lcags yos nag zla'i tshes nyer lngar mi pham pas sbyar ba'i dge bas mkhas khyab kyi sems can la phan bde bla na med pa rtag khyab lhun grub tu byung bar gyur cig | 'di las rgyas par 'dod na lnga pa chen po'i chog bsgrigs yid bzhin dbang rgyal dang | bsdus pa la mos na paN chen thams cad mkhyen pa'i mdo tshogs bdud rtsi'i yang zhun snying po sogs dam pa rnams kyis mdzad pa'i gzhung ltar nyams su blang bar bya'o ||
002(kha)018	sangs rgyas sman bla mched bdun gyi rjes gnang bya tshul bklag chog don grub bsam 'phel/	2	Ngor mkhan chen 13 nam mkha' dpal bzang	Tib	359	378	zhes pa 'di ni bskul ba po'i bzhed pa ltar b+hik+Sh+AA ga ga na sh+r+Ai b+ha dras e waM thar pa rtser myur bar sbyar ba sarba d+AA mad+ga laM || slar yang gong 'og gi char tshig gi gsal byed 'ga' re dang | khyad par byin rlabs skabs kyi ngag 'don bklag chog tu bkod pa sogs bya bral ba many+dzu g+ho Shas bgyis pa dge ||
002(kha)019	bcom ldan 'das sman gyi bla ma'i rjes gnang gi brgyud 'debs ut+pal phreng mdzes/	2	'Jam dbyangs mkhyen brtse'i dbang po	Tib	379	382	zhes pa'ang dge slong gu Na la k+Sh+m+Ai'i bzhed skong du chos smra ba'i gzugs brnyan mkhyen brtse'i dbang pos gsol ba btab pa sid+d+hi rastu | gong gi mkhyen brtse nas brgyud rim kha skong tshigs gnyis po dz+ny+AA nas so ||
002(kha)020	sman bla gtso 'khor gsum gyi sgom bzlas la brten nas bsnyen pa bya tshul sogs nyung gsal kun phan bdud rtsi /	2	'Jam dbyangs mkhyen brtse'i dbang po	Tib	383	388	zhes pa'ang rang gzhan mang po la phan pa'i bsam pa kho nas yig cha snga ma 'ga' zhig gi don mdor bsdus te sh+AAkya'i dge slong bya bral ba many+dzu g+ho Shas sbyar ba'i dge bas 'gro kun 'khor ba dang ngan song gi sdug bsngal las grol te byang chub snying po'i go 'phang myur du thob pa'i rgyur gyur cig ||
002(kha)021	sman bla'i sgom bzlas shin tu bsdus pa phan bde'i myur lam/	2	'Jam dbyangs mkhyen brtse'i dbang po		389	392	zhes pa'ang nyer mkho'i slad du mang du thos pa'i bya bral ba many+dzu g+ho Shas sbyar ba ste | dge bas 'gro kun phan bde'i rgyur gyur cig ||
002(kha)022	dkyil 'khor thams cad kyi spyi'i cho ga gsang ba'i rgyud/	2	Unknown		394	488	dkyil 'khor chen po bkod pa rim par phye ba | phyag na rdo rje dbang phyug chen po bdag nyid kyis bstan pa las | dkyil 'khor thams cad kyi spyi'i cho ga gsang ba spyi'i rgyud rdzogs so soha
002(kha)023	legs par grub par byed pa'i rgyud chen po las sgrub pa'i thabs rim par phye ba/	2	Unknown		489	600	legs par grub par byed pa'i rgyud chen po las bsgrub pa'i thabs bsdus pa rdzogs soha
002(kha)024	bsam gtan gyi phyi ma rim par phye ba/	2	Unknown		681	692	bsam gtan gyi phyi ma rim par phye ba rdzogs saho || || pyir shwa lo ka lnga bcu rtsa gsum mo skad |
003(ga)001	'phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs/	3	Unknown		1	38	'phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs rdzogs so || rgya gar gyi mkhan po bad+y+AA ka ra sing+ha dang | zhu chen gyi lo ts+AA ba ban de dpal gyi lhun po'i sdes bsgyur cing zhus te gtan la phab pa'o || jo bo a ti sha dang dge bshes 'brom ston pas sngags rnams dag par bsgyur ro || ||
003(ga)002	'phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i dkyil 'khor gyi cho ga 'chi med 'byung ba/	3	Bu ston rin chen grub	Tib	39	104	 zhes khas blangs pa'i ngor | dge slong rin chen grub kyis kun ldan gyi lo | gro zhun can gyi zla ba'i nyi shu brgyad la sbyar ba'i yi ge pa ni de nyid la nye bar gnas pa'i dge slong bsod nams grub bo || 'dis 'khor ba sdug bsngal gyi rgya mtsho chen po myur du skems par gyur cig || || 
