	title	vol	Name of Author	Claimed Provenance	start	end	Colophon
013(pa)010	sgyu 'phrul drwa ba zhi ba 'bring po'i dbang gi cho ga dkyil 'khor rgya mtshor 'jug pa'i gru chen/	13	Padma 'gyur med rgya mtsho		345	450	sgyu 'phrul d+r+wa ba zhi ba 'bring po'i dbang gi cho ga dkyil 'khor rgya mtshor 'jug pa'i gru chen zhes bya ba 'di ni rang gzhan mang po la phan 'dod dang | rigs kyi gcung 'gyur med yid bzhin legs par grub pa'i gsung gis kyang bskul ma btab par brten dus gsum rgyal ba'i spyi gzugs skyabs mgon bla ma gter chen chos kyi rgyal po mched kyi zhabs rdul spyi bos len pa smyos ban pad+ma 'gyur med rgya mtsho mi pham rnam rgyal rdo rjes rang lo nyer gcig pa mi zad pa'i lo khrums zla'i dmar phyogs kyi tshes dge bar 'og min o rgyan smin grol gling gi bla brang chos 'khor lhun por rdzogs par sbyar ba dge legs su gyur cig ||
013(pa)011	sgyu 'phrul zhi ba'i sbyin sreg bsnyen pa'i kha skong gi ched du byas pa zla ba'i 'od zer/	13	Padmavajra	Tib	451	464	zhes pa 'di yang rang dang skal mnyam 'ga' la nyer mkho'i ched du pad+ma badz+ra gyis bris pa dge'o ||
013(pa)012	dpal gsang ba snying po'i brgyud pa rin po cher gsol smon ku mud phreng ba/	13	Kaḥ thog si tu Chos kyi rgya mtsho	Tib	465	470	ces pa'ang chos kyi rgya mtshos 'jug pa bde ba'i phyir bkod pa'o ||
013(pa)013	dpal gsangab snying po'i brgyud pa rin po che la gsol ba 'debs pa dang /_lam rim smon lam phun tshogs dpag bsam sprin gyi me tog	13	Kaḥ thog si tu Chos kyi rgya mtsho	Tib	471	490	ces pa 'adi'ang mkhas grub chen po'i lam rim 'grel chen dbur bzhugs brgyud 'debs la kha skong gi sho lo ka bcu drug dang | lam rnam bkod dang | lam che chung | rim gsum la sogs pa las 'byung ba'i dpal sgyu 'phrul dra ba'i lam tshang la ma nor ba smon lam du bsdebs te sbyor ba po ni | rgyud kyi rgyal po la shes nas dad pa thob pa'i rig 'dzin gyi btsun pa chos kyi rgya mtsho bstan pa'i nyi ma dpal bzang po ste | 'dis kyang rang gzhan sems can thams cad zab mo'i lam 'di la brten nas khyab bdag rdo rje sems dpa'i go 'phang dam pa mngon du byed pa'i rgyur gyur cig ||
013(pa)014	bcom ldan 'das gsang ba snying po zhi ba 'bring po'i sgrub thabs byin rlabs kyi snye ma/	13	Kaḥ thog si tu Chos kyi rgya mtsho	Tib	497	632	ces pa'ang ring mo nas bya bar 'dod pa la | nye char don gnyer can rnams kyis bskul ba bzhin | bla ma dam pa rnams kyi bka' drin gyis 'tsho ba'i gsang ba sgyu 'phrul pa sh+AAkya'i dge slong rdo rje 'dzin pa chos kyi rgya mtshos gangs can gyi khrod na mngon par mtho ba'i sgrub gnas chen po shar kaHthoga rdo rje'i gdan du | sna tshogs dbyig gi lo | 'bum 'gyur zla ba'i tshes dang po nas brtsams te | dmar phyogs kyi tshes bcu la rdzogs par gyur pa'i dge bas lus can kun gyis dpal rdo rje sems dpa'i go 'phang mngon du byed par gyur cig |
013(pa)015	dpal gsang ba snying po zhi ba'i dkyil 'khor gyi cho ga rnam dag gser phreng /	13	Kaḥ thog si tu Chos kyi rgya mtsho	Tib	633	784	
013(pa)016	sgyu 'phrul drwa ba chen po las zhi ba'i las byang 'bring po dang 'brel ba'i rim gnyis kyi rnal 'byor gsal ba'i bsnyen yig	13	Ngag dbang dpal bzang		785	862	ces pa rdo rje sems dpa' sgyu 'phrul d+r+wa ba zhi ba 'bring po'i sgrub thabs la brten nas lam nges rdzogs dang mos bsgom gyi lam gyis 'jug pa 'di ni bka' drin mtshungs pa med pa bstan pa'i nyi ma nyid | yid lhung bla ma sgyu 'phrul ba'am | dga' rab mdun nas rgyud 'di'i man ngag gnad rnams gsan nas thugs nyams su bzhes tshul gyi gsung rgyun dang | a bu dpal sprul rin po ches na rag dong sprug gi bsnyen pa btang tshul zhal nas snyan du brgyud pa bka' drin can gyi dong sprug gi bsnyen yig gnang ba rnams rtsa bar bzung nas | go 'jo rag dgon mchog sprul bshad sgrub rgya mtshos mdo sgyu gnyis kyi mtshams grwa gsar 'dzug gi thugs bzhed kyis snga phyir bskul ba don yod pa'i phyir | gsang ba sgyu 'phrul gyi gnas la mos pa lam du byed pa pad+ma las 'brel rtsal gyis spel ba phyogs dus kun tu dge zhing bkra shis par gyur cig ||
014(pha)001	sgyu 'phrul khro bo'i dbang gi brgyud 'debs/	14	Gyur med rdo rje gter bdag gling pa & Jñāna	Tib	1	2	ces sgyu 'phrul khro bo'i dbang brgyud lugs gcig la gsol ba 'debs pa 'adi'ang gter chen 'gyur med rdo rje'i gsung sor bzhag la | de man gyi brgyud rim kha skong ba po ni dz+ny+AA na'o ||
014(pha)002	sgyu 'phrus drwa ba khro bo he ru ka'i dkyil 'khor bsdus pa'i sgrub thabs bde chen char 'bebs/	14	sMin gling mkhan chen 02 D+harma ShrI	Tib	3	100	gsang bdag chen po phrin las lhun grub kyi gsung gi 'od zer gyi blo'i pad+mo rnam par bzhad pa sh+AAkya'i dge bsnyen rig pa 'dzin pa 'gyur med rdo rjes ing+ge ra'i lo s+n+ron gyi zla ba tshes pa la o rgyan smin grol gling nges pa don gyi dga' ba'i tshal chen po'i gtsug lag khang du sbyar ba'i yi ge pa ni rgyud sde 'di nyid kyi tshig don smra ba la thogs pa med pa'i blo gros kyi mthu grub pa mkhan chen lo ts+AA ba d+harma sh+r+Ais bgyis pa'o || 'dis kyang rgyal ba'i bstan pa rin po che phyogs thams cad du dar zhing rgyas la yun ring du gnas pa'i gzhir gyur cig ||
014(pha)003	dpal gsang ba'i snying po sgyu 'phrul khro bo'i sgrub thabs khrag 'thung mngon rdzogs/	14	Jigs med gling pa mKhyen brtse 'od zer	Tib	101	168	snga 'gyur bstan pa'i nyin byed 'bar gyur cig | rig 'dzin 'dus pa'i tshogs rjes bskul ngor rdzogs chen pa rang byung rdo rjes so ||
014(pha)004	sgyu 'phrul drwa ba khro bo'i sgrub thabs bde chen char 'bebs kyi snying po'i don bsdus/	14	Padmavajra	Tib	169	220	ces sgyu 'phrul d+r+wa ba he ru ka'i sgrub thabs gter chen chos kyi rgyal po'i gsung las bsnyen pa'i las byang nyung ngur bsdus te | rang dang skal mnyam rnams la phan pa'i blos rig 'dzin gyi btsun pa pad+ma badz+rasa g.yi stod dben pa'i nags tshal d+r+wa ba can du bris pa gsang chen snying po'i bstan pa phyogs dus kun tu rgyas pa'i rgyur gyur cig ||
014(pha)005	sgyu 'phrul drwa ba khro bo'i dkyil 'khor gyi cho ga rdo rje'i phreng ba/	14	sMin gling mkhan chen 02 D+harma ShrI	Tib	221	262	gyu 'phrul d+r+wa ba khro bo'i dkyil 'khor gyi cho ga rdo rje'i phreng ba zhes bya ba 'di yang rig pa 'dzin pa 'gyur med rdo rjes sngar bkod pa'i zhi ba'i dkyil chog nyid gzhir byas | de las cho ga'i khyad par bye brag pa rnams tshang zhing gsal la 'jug pa bde bar byas pa las | thog ma'i yi ger spel ba po ni | gzhung lugs rab 'byams la mchog tu zab pa'i blo mthun can mkhan chen lo ts+AA ba d+harma sh+r+Ai'o ||
014(pha)006	sgyu 'phrul drwa ba khro bo'i dbang gi cho ga khrag 'thung rdo rje'i gad rgyangs/	14	Padma 'gyur med rgya mtsho	Tib	263	398	sgyu 'phrul d+r+wa ba khro bo bsdus pa'i dbang gi cho ga khrag 'thung rdo rje'i gad rgyangs zhes bya ba 'di yang rang gzhan mang por phan 'dod dang | nye char rigs kyi gcung 'gyur med yid bzhin legs par grub pa'i gsung gis kyang bskul ma btab par brten drin can bla ma gter bdag gling pa mched kyi zhabs rdul spyi bos len pa smyos ban pad+ma 'gyur med rgya mtsho mi pham rnam rgyal rdo rjes rang lo nyer gcig pa mi zad pa'i lo smin drug zla ba'i dkar phyogs kyi gral tshes dge bar zhi khro'i cho ga thun mong ba rnams 'jug pa bde ba'i phyir zhi ba'i dbang chog nyid gzhir byas te 'og min o rgyan smin grol gling gi bla brang chos 'khor lhun por sug bris su sbyar ba dge legs su gyur cig ||
014(pha)007	sgyu 'phrul drwa ba khro bo'i dkyil 'khor la brten pa'i zhi ba'i sbyin sreg bsnyen pa'i kha skong gi ched du byas pa nyi ma'i 'od zer/	14	Padmavajra	Tib	399	410	ces pa 'di ni rang dang skal mnyam gyi gang zag cho ga'i lag len la cher ma 'dris pa 'ga' zhig la nyer mkho'i ched du pad+ma badz+ra pas bris pa dge legs 'phel ||
014(pha)008	sgyu 'phrul drwa ba las khro bo'i dkyil 'khor du bsnyen pa'i tshul gyi lhan thabs rig 'dzin dga' ston/	14	Ngag dbang dpal bzang	Tib	411	462	ces pa'ang sgyu 'phrul khro bo'i bsnyen pa ji ltar btang ba'i tshul | rang dgon mchog sprul thub bstan bshad sgrub rgya mtshos dngos dang yi ge'i lam nas snga phyir bskul ba dang | rgya ra mkhan po mgon pos kyang ched du bskul ba'i ngor | dpal kaHthoga pa chen po si tu chos kyi rgya mtsho'i bka' drin gyis 'tsho ba pad+ma las 'brel rtsal gyis dpyad gsum dag pa'i sgo nas spel ba dge'o ||
014(pha)009	khrag 'thung khro bo'i 'chams kyi brjed byang kun bzang rnam par rtsen pa'i rol pa/	14	sMin gling mkhan chen 02 Dharma Śrī	Tib	463	548	dpal ldan khrag 'thung sgyu 'phrul rdo rje'i gar || kun bzang rnam par rtsen pa'i rol pa yi || gsal bar mtshon 'di myos btsun gar thig pa || d+har+m+AA sh+r+Ais brjed byang nyid du spel || 'di las rab dkar bsod nams gang thob des || rdo rje lus kyi spyod pa rmad byung la || brten nas 'gro kun las dang dngos grub cher || bdag gir skal ba bzang po myong gyur cig ||
014(pha)010	mchod gar gyi brjed byang mchod sprin rnam par spro ba'i rol mo/	14	sMin gling mkhan chen 02 Dharma Śrī	Tib	549	578	de phyir mchod sprin rnam pa thams cad par || spro ba'i rol mos rab 'byams dkyil 'khor kun || mnyes byed gar gyi bstan bcos sngon med 'di || gter chen bla ma'i zhabs sen nyi 'od rdul || spyi bo'i chu skyes ge sar dang 'grogs pa'i || smyos kyi ban chung d+harma sh+r+Ais spel || tshul bzhin sbyangs pas 'khrul pa med snyam rlom || 'on kyang byis blos nongs na mkhas la bshags || 'dir 'bad dge bas 'gro kun gnyug ma'i lus || rdo rje zla ba stobs su gyur pa yis || 'gro ba'i lus kyi dri ma drung phyung ste || 'chi med sku yi rdo rjer byang chub shog ||
