Derge	Lhasa	BuddhaNexus link
K04D0012 	H0011 	https://buddhanexus.net/tib/text/K04D0012_H0011
K05D0010 	H0012 	https://buddhanexus.net/tib/text/K05D0010_H0012
K05D0010-2 	H0012-2 	https://buddhanexus.net/tib/text/K05D0010-2_H0012-2
K05D0010-3 	H0012-3 	https://buddhanexus.net/tib/text/K05D0010-3_H0012-3
K05D0011 	H0013 	https://buddhanexus.net/tib/text/K05D0011_H0013
K06D0011-2 	H0013-2 	https://buddhanexus.net/tib/text/K06D0011-2_H0013-2
K06D0014 	H0014 	https://buddhanexus.net/tib/text/K06D0014_H0014
K06D0024=D0090 	H0015 	https://buddhanexus.net/tib/text/K06D0024=D0090_H0015
K06D0015 	H0016 	https://buddhanexus.net/tib/text/K06D0015_H0016
K06D0013 	H0017 	https://buddhanexus.net/tib/text/K06D0013_H0017
K06D0016 	H0018 	https://buddhanexus.net/tib/text/K06D0016_H0018
K06D0017=D0489 	H0019=H0455 	https://buddhanexus.net/tib/text/K06D0017=D0489_H0019=H0455
K06D0025=D0553 	H0020=H0511 	https://buddhanexus.net/tib/text/K06D0025=D0553_H0020=H0511
K06D0018 	H0021 	https://buddhanexus.net/tib/text/K06D0018_H0021
K06D0023 	H0022 	https://buddhanexus.net/tib/text/K06D0023_H0022
K06D0019=D0554 	H0023=H0512 	https://buddhanexus.net/tib/text/K06D0019=D0554_H0023=H0512
K06D0022=D0530 	H0024=H0498 	https://buddhanexus.net/tib/text/K06D0022=D0530_H0024=H0498
K06D0020=D0491 	H0025=H0460 	https://buddhanexus.net/tib/text/K06D0020=D0491_H0025=H0460
K06D0021=D0531 	H0026=H0499 	https://buddhanexus.net/tib/text/K06D0021=D0531_H0026=H0499
K06D0026 	H0027 	https://buddhanexus.net/tib/text/K06D0026_H0027
K06D0027 	H0028 	https://buddhanexus.net/tib/text/K06D0027_H0028
K06D0028 	H0029 	https://buddhanexus.net/tib/text/K06D0028_H0029
K06D0029 	H0030 	https://buddhanexus.net/tib/text/K06D0029_H0030
K06D0030 	H0031 	https://buddhanexus.net/tib/text/K06D0030_H0031
K06D0031 	H0032 	https://buddhanexus.net/tib/text/K06D0031_H0032
K06D0032 	H0033 	https://buddhanexus.net/tib/text/K06D0032_H0033
K06D0033 	H0034 	https://buddhanexus.net/tib/text/K06D0033_H0034
K06D0034 	H0035 	https://buddhanexus.net/tib/text/K06D0034_H0035
K06D0035 	H0036 	https://buddhanexus.net/tib/text/K06D0035_H0036
K06D0036 	H0037 	https://buddhanexus.net/tib/text/K06D0036_H0037
K06D0037 	H0038 	https://buddhanexus.net/tib/text/K06D0037_H0038
K06D0038 	H0039 	https://buddhanexus.net/tib/text/K06D0038_H0039
K06D0039 	H0040 	https://buddhanexus.net/tib/text/K06D0039_H0040
K06D0040 	H0041 	https://buddhanexus.net/tib/text/K06D0040_H0041
K06D0041 	H0042 	https://buddhanexus.net/tib/text/K06D0041_H0042
K06D0042 	H0043 	https://buddhanexus.net/tib/text/K06D0042_H0043
K06D0043 	H0044 	https://buddhanexus.net/tib/text/K06D0043_H0044
K07D0045 	H0045 	https://buddhanexus.net/tib/text/K07D0045_H0045
K07D0046 	H0046 	https://buddhanexus.net/tib/text/K07D0046_H0046
K07D0047 	H0047 	https://buddhanexus.net/tib/text/K07D0047_H0047
K07D0048 	H0048 	https://buddhanexus.net/tib/text/K07D0048_H0048
K07D0049 	H0049 	https://buddhanexus.net/tib/text/K07D0049_H0049
K08D0050 	H0050 	https://buddhanexus.net/tib/text/K08D0050_H0050
K08D0051 	H0051 	https://buddhanexus.net/tib/text/K08D0051_H0051
K08D0052 	H0052 	https://buddhanexus.net/tib/text/K08D0052_H0052
K08D0053 	H0053 	https://buddhanexus.net/tib/text/K08D0053_H0053
K08D0054 	H0054 	https://buddhanexus.net/tib/text/K08D0054_H0054
K08D0055 	H0055 	https://buddhanexus.net/tib/text/K08D0055_H0055
K08D0056 	H0056 	https://buddhanexus.net/tib/text/K08D0056_H0056
K08D0058 	H0057 	https://buddhanexus.net/tib/text/K08D0058_H0057
K08D0057 	H0058 	https://buddhanexus.net/tib/text/K08D0057_H0058
K08D0059 	H0059 	https://buddhanexus.net/tib/text/K08D0059_H0059
K08D0060 	H0060 	https://buddhanexus.net/tib/text/K08D0060_H0060
K08D0061 	H0061 	https://buddhanexus.net/tib/text/K08D0061_H0061
K08D0062 	H0062 	https://buddhanexus.net/tib/text/K08D0062_H0062
K08D0063 	H0063 	https://buddhanexus.net/tib/text/K08D0063_H0063
K08D0064 	H0064 	https://buddhanexus.net/tib/text/K08D0064_H0064
