					
		Lhasa (H)	Lhasa ACIP		Derge (D)
		H0001	H001-001+H002-001+H003-001+H004-001		D0001
		H0002	H005-001		D0002
		H0003	H005-002+H006-001+H007-001+H008-001		D0003
		H0004	H009-001		D0004
		H0005	H009-002		D0005
		H0006	H010-001+H011-001		D0006
		H0007	H012-001		D0007A
		H0008	H012-002+H013-01		D0007B
		H0009	H014-001+H015-001+H016-001+H017-001+H018-001+H019-001+H020-001+H021-001+H022-001+H023-001+H024-001+H025-01		D0008
		H0010	H026-001+H027-001+H028-001		D0009
		H0011	H029-001		D0012
		H0012	H030-001+H031-001+H032-001		D0010
		H0013	H032-002+H033-001		D0011
		H0014	H034-001		D0014
		H0015	H034-002		D0024
		H0016	H034-003		D0015
		H0017	H034-004		D0013
		H0018	H034-005		D0016
		H0019=H0455	H034-006		D0017=D0489
		H0020=H0511	H034-007		D0025=D0553
		H0021	H034-008		D0018
		H0022	H034-009		D0023
		H0023=H0512	H034-010		D0019=D0554
		H0024=H0498	H034-011		D0022=D0530
		H0025=H0460	H034-012		D0020=D0491
		H0026=H0499	H034-013		D0021=D0531
		H0027	H034-014		D0026
		H0028	H034-015		D0027
		H0029	H034-016		D0028
		H0030	H034-017		D0029
		H0031	H034-018		D0030
		H0032	H034-019		D0031
		H0033	H034-020		D0032
		H0034	H034-021		D0033
		H0035	H034-022		D0034
		H0036	H034-023		D0035
		H0037	H034-024		D0036
		H0038	H034-025		D0037
		H0039	H034-026		D0038
		H0040	H034-027		D0039
		H0041	H034-028		D0040
		H0042	H034-029		D0041
		H0043	H034-030		D0042
		H0044	H034-031		D0043
		H0045	H035-001		D0045
		H0046	H035-002		D0046
		H0047	H035-003		D0047
		H0048	H035-004		D0048
		H0049	H035-005		D0049
		H0050	H036-001		D0050
		H0051	H036-002		D0051
		H0052	H036-003		D0052
		H0053	H036-004		D0053
		H0054	H036-005		D0054
		H0055	H036-006		D0055
		H0056	H037-001		D0056
		H0057	H037-002		D0058
		H0058	H037-003		D0057
		H0059	H038-001		D0059
		H0060	H038-002		D0060
		H0061	H038-003		D0061
		H0062	H038-004		D0062
		H0063	H039-001		D0063
